,Name,MC_USD_Billion,MC_EUR_Billion,MC_GBP_Billion,MC_INR_Billion
0,JPMorgan Chase,432.92,402.6,346.34,35910.714
1,Bank of America,231.52,215.3,185.22,19204.584
2,Industrial and Commercial Bank of China,194.56,180.9,155.65,16138.752
3,Agricultural Bank of China,160.68,149.4,128.54,13328.406
4,HDFC Bank,157.91,146.9,126.33,13098.634
5,Wells Fargo,155.87,145.0,124.7,12929.417
6,HSBC,148.90,138.5,119.12,12351.255
7,Morgan Stanley,140.83,131.0,112.66,11681.849
8,China Construction Bank,139.82,130.0,111.86,11598.069
9,Bank of China,136.81,127.2,109.45,11348.39
